Activity Number,BBE Status,OLI Category,Line #
1-35PDYVFL,BBE Available,Added,36
1-35V815VO,BBE Closed,Added,31
1-35SNF67V,BBE Closed,SysAdded,25
1-35U61ZWR,BBE Closed,SysAdded,25
1-35VY6HJV,BBE Closed,SysAdded,25
1-35V1DBY1,BBE Closed,SysAdded,24
1-35V815VO,BBE Closed,SysAdded,22
1-35VIJAYT,BBE Closed,SysAdded,22
1-35RCYT5Q,BBE Closed,SysAdded,20
1-35TJA848,BBE Closed,SysAdded,20
1-35MMM3TU,BBE Closed,SysAdded,19
1-35SD3K0F,BBE Closed,SysAdded,19
1-35UINNYM,BBE Closed,Added,18
1-35UKOGL1,BBE Closed,SysAdded,18
1-35UWUAOF,BBE Closed,SysAdded,18
1-35VZKQ4Q,BBE Closed,Added,18
1-35PUVAJH,BBE Closed,SysAdded,17
1-35Q3QJKQ,BBE Closed,SysAdded,17
1-35SZPRB2,BBE Closed,SysAdded,17
1-35TZKMO9,BBE Closed,Added,17
1-35UPC2ZY,BBE Closed,Added,17
1-35UPZMPY,BBE Closed,SysAdded,17
1-35VFLL84,BBE Closed,SysAdded,17
1-35RI8K3N,BBE Closed,SysAdded,16
1-35V2GO2U,BBE Closed,SysAdded,16
1-35VJFXXW,BBE Closed,SysAdded,16
1-35VLEM2H,BBE Closed,Added,16
1-35VMH2Z8,BBE Closed,SysAdded,16
1-35VOI5Q4,BBE Closed,SysAdded,16
1-35VQY4N3,BBE Closed,SysAdded,16
1-35VXBP5G,BBE Deleted,Deleted,16
1-35RFVO10,BBE Closed,Added,15
1-35UO76PN,BBE Closed,SysAdded,15
1-35VZASND,BBE Closed,SysAdded,15
1-35J9FVMT,BBE Closed,New,14
1-35OOS2ED,BBE Closed,SysAdded,14
1-35PQZDYG,BBE Closed,SysAdded,14
1-35QMN14K,BBE Closed,Added,14
1-35V7J92L,BBE Closed,SysAdded,14
1-35VVXD4T,BBE Closed,Added,14
1-35TBQFBN,BBE Closed,SysAdded,13
1-35TN7RAP,BBE Closed,SysAdded,13
1-35TZ6G1N,BBE Closed,Added,13
1-35UBPKSM,BBE Closed,SysAdded,13
1-35VZ7WVI,BBE Closed,SysAdded,13
1-35NZMAL4,BBE Closed,SysAdded,12
1-35Q57FVB,BBE Deleted,Deleted,12
1-35SB9RH4,BBE Closed,SysAdded,12
1-35SQI2K2,BBE Closed,SysAdded,12
1-35SZ4UJR,BBE Closed,SysAdded,12
1-35T078M5,BBE Closed,SysAdded,12
1-35TFR13C,BBE Available,New,12
1-35U5KMKV,BBE Available,New,12
1-35UB2ODX,BBE Closed,SysAdded,12
1-35V7ANGY,BBE Closed,Added,12
1-35VMVX7A,BBE Closed,SysAdded,12
1-35VOUAE9,BBE Closed,SysAdded,12
1-35VOWEUR,BBE Available,New,12
1-35VU2DXS,BBE Closed,SysAdded,12
1-35VUCCMO,BBE Closed,SysAdded,12
1-35RPWU62,BBE Closed,New,11
1-35TOMG2G,BBE Closed,SysAdded,11
1-35TSRVG4,BBE Available,New,11
1-35UJ5F0G,BBE Closed,SysAdded,11
1-35UMM4TK,BBE Closed,SysAdded,11
1-35UN6ZK8,BBE Closed,New,11
1-35V06OAQ,BBE Available,New,11
1-35V3JIHS,BBE Closed,Added,11
1-35VO487N,BBE Available,SysAdded,11
1-35VPKKVI,BBE Closed,SysAdded,11
1-35VRWAK6,BBE Closed,SysAdded,11
1-35VYTCQY,BBE Available,SysAdded,11
1-358FD2SO,BBE Available,New,10
1-35L4JLOG,BBE Available,New,10
1-35LLXV9X,BBE Available,New,10
1-35MMF78Z,BBE Available,New,10
1-35PXFPLH,BBE Closed,New,10
1-35QH09HQ,BBE Available,New,10
1-35RZQLH4,BBE Available,New,10
1-35T05QLR,BBE Closed,SysAdded,10
1-35T0GJXW,BBE Available,New,10
1-35T9X1UI,BBE Available,New,10
1-35TBVBQC,BBE Closed,New,10
1-35TCUHIR,BBE Available,New,10
1-35TMXXTQ,BBE Closed,SysAdded,10
1-35TPMUU0,BBE Closed,SysAdded,10
1-35TRJSCY,BBE Closed,Added,10
1-35TRQTXJ,BBE Closed,SysAdded,10
1-35TSX8VQ,BBE Available,New,10
1-35U2F256,BBE Available,New,10
1-35UCCH3P,BBE Closed,SysAdded,10
1-35UGQD6D,BBE Available,New,10
1-35UOY0XN,BBE Closed,New,10
1-35UQ7IKD,BBE Available,New,10
1-35UQDPWD,BBE Closed,New,10
1-35V9ZSE7,BBE Available,New,10
1-35VJ224N,BBE Closed,Added,10
1-35VJEFL3,BBE Closed,SysAdded,10
1-35VLP637,BBE Closed,SysAdded,10
1-35VO04N7,BBE Available,New,10
1-35VPJIHV,BBE Available,New,10
1-35VS5YL6,BBE Closed,SysAdded,10
1-352JJVDG,BBE Available,New,9
1-35L9ISM1,BBE Available,New,9
1-35QR01VT,BBE Available,New,9
1-35S71ZKE,BBE Closed,SysAdded,9
1-35SFUY5Q,BBE Deleted,Deleted,9
1-35T90B9B,BBE Closed,New,9
1-35T9PIZ3,BBE Closed,New,9
1-35TAM8NQ,BBE Available,New,9
1-35TN25LA,BBE Closed,SysAdded,9
1-35TQSY9W,BBE Available,New,9
1-35TRS4BE,BBE Available,New,9
1-35U00Z1N,BBE Available,New,9
1-35U34MJ3,BBE Closed,SysAdded,9
1-35U3O9B6,BBE Available,New,9
1-35U3WE8W,BBE Closed,SysAdded,9
1-35U9KF0N,BBE Deleted,Deleted,9
1-35UABJI2,BBE Closed,SysAdded,9
1-35UCTJGE,BBE Available,New,9
1-35UHQAAA,BBE Available,New,9
1-35UL2KQZ,BBE Closed,New,9
1-35UN7X8M,BBE Closed,New,9
1-35UP1TLO,BBE Available,New,9
1-35UPO71Q,BBE Available,New,9
1-35UXWTQ0,BBE Available,New,9
1-35V1MMYD,BBE Closed,SysAdded,9
1-35V2DCOG,BBE Closed,New,9
1-35V343A3,BBE Available,New,9
1-35V36HJX,BBE Available,New,9
1-35V5RONK,BBE Closed,New,9
1-35V81MSS,BBE Available,New,9
1-35VBQIBU,BBE Available,SysAdded,9
1-35VDH24M,BBE Deleted,Deleted,9
1-35VFDWVI,BBE Closed,SysAdded,9
1-35VGV76B,BBE Closed,SysAdded,9
1-35VJ224N,BBE Closed,SysAdded,9
