Activity Number,BBE Status,OLI Category,Line #
1-35W1PRKX,BBE Closed,SysAdded,45
1-35VXOR99,BBE Closed,SysAdded,31
1-35VJWM0T,BBE Available,SysAdded,26
1-35VA8L9R,BBE Available,New,23
1-35VF2J1T,BBE Closed,SysAdded,22
1-35VJTFDQ,BBE Closed,SysAdded,20
1-35P4WOSM,BBE Closed,Added,19
1-35TLN2PG,BBE Closed,SysAdded,19
1-35TOW4KU,BBE Closed,Added,19
1-35UMNKIA,BBE Closed,SysAdded,18
1-35UQIK4A,BBE Closed,SysAdded,18
1-35S774ZD,BBE Closed,Added,17
1-35TOW4KU,BBE Closed,Added,17
1-35V7JHS4,BBE Closed,SysAdded,17
1-35RT3N5Y,BBE Closed,SysAdded,16
1-35S6A7DL,BBE Closed,SysAdded,16
1-35SO0LRQ,BBE Closed,SysAdded,16
1-35HG5SVX,BBE Deleted,Deleted,15
1-35QOC7FW,BBE Closed,Added,15
1-35UNG3BT,BBE Closed,Added,15
1-35V01RX2,BBE Closed,SysAdded,15
1-35VJ2EF8,BBE Closed,SysAdded,15
1-35W10TDG,BBE Closed,SysAdded,15
1-35MKPGEP,BBE Closed,Added,14
1-35T3VULL,BBE Available,New,14
1-35UI0DZE,BBE Available,SysAdded,14
1-35V9J02B,BBE Deleted,Deleted,14
1-35VISITG,BBE Closed,Added,14
1-35S9O3UQ,BBE Closed,Added,13
1-35SQI0FY,BBE Closed,SysAdded,13
1-35U4WQEY,BBE Closed,SysAdded,13
1-35UN6YXL,BBE Closed,SysAdded,13
1-35UQ3AUJ,BBE Closed,SysAdded,13
1-35UU2EHU,BBE Closed,SysAdded,13
1-35UV5SAG,BBE Closed,SysAdded,13
1-35UWPJ9F,BBE Closed,SysAdded,13
1-35V2P792,BBE Closed,SysAdded,13
1-35VJNT23,BBE Closed,Added,13
1-35VU2RBV,BBE Closed,SysAdded,13
1-35VWWZLL,BBE Closed,SysAdded,13
1-35W0N0LI,BBE Available,New,13
1-35SPTSPP,BBE Closed,SysAdded,12
1-35TUW9TT,BBE Available,New,12
1-35TVBXL5,BBE Closed,Added,12
1-35UY9EOF,BBE Closed,New,12
1-35VFF88B,BBE Closed,SysAdded,12
1-35VISITG,BBE Closed,SysAdded,12
1-35VJXSSQ,BBE Closed,SysAdded,12
1-35VNLW3K,BBE Available,SysAdded,12
1-35VUTL07,BBE Available,New,12
1-35RF2QV6,BBE Closed,New,11
1-35SSUPZR,BBE Closed,New,11
1-35THB6HP,BBE Available,New,11
1-35TN55VG,BBE Closed,SysAdded,11
1-35TPFEL2,BBE Closed,SysAdded,11
1-35V13WAZ,BBE Closed,SysAdded,11
1-35V7JSH1,BBE Closed,SysAdded,11
1-35VH5ZYK,BBE Available,SysAdded,11
1-35VMSAOW,BBE Deleted,Deleted,11
1-35VVBU0C,BBE Closed,SysAdded,11
1-35Q2ESYH,BBE Available,New,10
1-35QMJL09,BBE Closed,SysAdded,10
1-35QQGN90,BBE Closed,SysAdded,10
1-35QTZ9VK,BBE Available,New,10
1-35S9L6AR,BBE Available,New,10
1-35SBUW8G,BBE Available,New,10
1-35TE3MBR,BBE Available,New,10
1-35TSBCAA,BBE Deleted,Deleted,10
1-35TSMZ7O,BBE Available,New,10
1-35TTVKLT,BBE Available,New,10
1-35U27AQT,BBE Available,New,10
1-35UGS2D5,BBE Available,New,10
1-35UGX0WY,BBE Deleted,Deleted,10
1-35UHLUTA,BBE Closed,SysAdded,10
1-35UHO7VR,BBE Deleted,Deleted,10
1-35UI5H9I,BBE Closed,New,10
1-35UK9S0W,BBE Closed,SysAdded,10
1-35UMR9UW,BBE Closed,New,10
1-35UOGGSE,BBE Available,New,10
1-35V01GYR,BBE Closed,Added,10
1-35V1YSAG,BBE Available,New,10
1-35VAH8TC,BBE Available,New,10
1-35VBBPMA,BBE Available,New,10
1-35VC2I9T,BBE Available,New,10
1-35VH0THA,BBE Closed,SysAdded,10
1-35VK2ZDS,BBE Closed,SysAdded,10
1-35VLRM9T,BBE Available,New,10
1-35VN32ZG,BBE Available,New,10
1-35VOXUBG,BBE Closed,Added,10
1-35VVUT2O,BBE Deleted,Deleted,10
1-35VWOV53,BBE Available,New,10
1-35VYNMPT,BBE Available,New,10
1-35VZ4030,BBE Available,SysAdded,10
1-35W1YJFD,BBE Available,New,10
1-35N0Z2YP,BBE Available,New,9
1-35NDC1MX,BBE Available,New,9
1-35O4QOC8,BBE Available,New,9
1-35QNW8U7,BBE Available,New,9
1-35QOWFKJ,BBE Available,New,9
1-35RFH54M,BBE Available,New,9
1-35RHK42S,BBE Deleted,Deleted,9
1-35S9VWEI,BBE Available,New,9
1-35SDLXBM,BBE Available,New,9
1-35SLV2XI,BBE Available,New,9
1-35SZBF90,BBE Closed,New,9
1-35T4UOXS,BBE Available,New,9
1-35TG6WBP,BBE Available,New,9
1-35THFPI5,BBE Available,New,9
1-35TMA7N5,BBE Deleted,Deleted,9
1-35TQH23R,BBE Available,New,9
1-35TSN9T1,BBE Closed,New,9
1-35TUKKTM,BBE Available,New,9
1-35TUX1PV,BBE Available,New,9
1-35U01S3I,BBE Deleted,Deleted,9
1-35U0RVA0,BBE Available,New,9
1-35U15VHZ,BBE Closed,New,9
1-35U34YZ2,BBE Available,New,9
1-35U9T25U,BBE Available,New,9
1-35UBE2ZS,BBE Available,New,9
1-35UH63T0,BBE Available,SysAdded,9
1-35UISWSY,BBE Available,New,9
1-35UJLH4N,BBE Closed,New,9
1-35UJT6WY,BBE Closed,SysAdded,9
1-35UL5H15,BBE Closed,New,9
1-35UMNC2Q,BBE Deleted,Deleted,9
1-35UNX3QI,BBE Deleted,Deleted,9
1-35UOS8DM,BBE Available,New,9
1-35UQAG11,BBE Available,New,9
1-35UV9I7I,BBE Available,New,9
1-35UW0AQX,BBE Closed,New,9
1-35UZC6GE,BBE Available,New,9
1-35V1QXCM,BBE Closed,SysAdded,9
1-35V2O9IF,BBE Available,New,9
1-35V67D4E,BBE Available,New,9
1-35V8DPJ2,BBE Available,New,9
1-35V956WM,BBE Available,New,9
1-35VB74PX,BBE Available,New,9
1-35VBF0K8,BBE Deleted,Deleted,9
1-35VBNMIW,BBE Closed,SysAdded,9
1-35VDWOO6,BBE Closed,SysAdded,9
1-35VEY68C,BBE Closed,SysAdded,9
1-35VFCI8G,BBE Available,New,9
1-35VJHIB4,BBE Available,SysAdded,9
1-35VKMHRR,BBE Closed,SysAdded,9
1-35VM22V9,BBE Available,New,9
1-35VMW1QI,BBE Closed,SysAdded,9
1-35VOW6MK,BBE Available,New,9
1-35VPO7II,BBE Available,New,9
1-35VRMCAS,BBE Available,New,9
1-35VV24B5,BBE Available,New,9
